    p    n    -0.78235    -1.80574  -1
  5.00  7.00   -3.208   -2.434   -1.919
 10.00  7.00   -3.133   -0.510    0.208
 30.00  7.00   -3.198    1.798    2.940
100.00  7.00   -3.240    4.347    5.994
  0.01  8.00  -99.999  -99.999  -99.999
  0.10  8.00  -65.570  -99.999  -67.164
  0.20  8.00  -35.616  -78.683  -36.915
  0.40  8.00  -20.209  -40.916  -21.223
  0.70  8.00  -13.299  -24.505  -14.094
  1.00  8.00  -10.394  -17.809  -11.064
  1.50  8.00   -8.020  -12.453   -8.573
  2.00  8.00   -6.773   -9.661   -7.259
  3.00  8.00   -5.462   -6.681   -5.742
  5.00  8.00   -4.338   -3.936   -3.410
 10.00  8.00   -3.462   -1.153   -0.439
 30.00  8.00   -3.212    1.768    2.909
100.00  8.00   -3.240    4.346    5.993
  0.01  9.00  -99.999  -99.999  -99.999
  0.10  9.00  -99.999  -99.999  -99.999
  0.20  9.00  -99.999  -99.999  -99.999
  0.40  9.00  -54.663  -75.369  -55.676
  0.70  9.00  -33.000  -44.205  -33.795
  1.00  9.00  -24.198  -31.614  -24.869
  1.50  9.00  -17.246  -21.680  -17.799
  2.00  9.00  -13.716  -16.605  -14.203
  3.00  9.00  -10.135  -11.356  -10.416
  5.00  9.00   -7.210   -6.829   -6.302
 10.00  9.00   -4.919   -2.769   -2.057
 30.00  9.00   -3.368    1.478    2.616
100.00  9.00   -3.244    4.338    5.985
  0.01 10.00  -99.999  -99.999  -99.999
  0.10 10.00  -99.999  -99.999  -99.999
  0.20 10.00  -99.999  -99.999  -99.999
  0.40 10.00  -99.999  -99.999  -99.999
  0.70 10.00  -75.759  -86.964  -76.554
  1.00 10.00  -54.136  -61.552  -54.807
  1.50 10.00  -37.215  -41.649  -37.768
  2.00 10.00  -28.704  -31.593  -29.191
  3.00 10.00  -20.148  -21.370  -20.429
  5.00 10.00  -13.259  -12.878  -12.351
 10.00 10.00   -8.034   -5.889   -5.176
 30.00 10.00   -4.378    0.277    1.412
100.00 10.00   -3.287    4.255    5.901
  0.01 11.00  -99.999  -99.999  -99.999
  0.10 11.00  -99.999  -99.999  -99.999
  0.20 11.00  -99.999  -99.999  -99.999
  0.40 11.00  -99.999  -99.999  -99.999
  0.70 11.00  -99.999  -99.999  -99.999
  1.00 11.00  -99.999  -99.999  -99.999
  1.50 11.00  -80.282  -84.715  -80.835
  2.00 11.00  -61.009  -63.898  -61.496
  3.00 11.00  -41.695  -42.916  -41.976
  5.00 11.00  -26.206  -25.825  -25.298
 10.00 11.00  -14.552  -12.407  -11.694
 30.00 11.00   -6.688   -2.050   -0.915
100.00 11.00   -3.730    3.625    5.268
  f17  o17     2.76051     1.73712  -1
  0.01  1.00   -6.614   -1.986   -1.986
  0.10  1.00   -7.064   -1.986   -1.986
  0.20  1.00   -7.167   -1.986   -1.986
  0.40  1.00   -7.247   -1.986   -1.986
  0.70  1.00   -6.650   -1.986   -1.986
  1.00  1.00   -5.347   -1.986   -1.986
  1.50  1.00   -4.173   -1.987   -1.980
  2.00  1.00   -3.495   -1.991   -1.952
  3.00  1.00   -2.671   -2.003   -1.769
  5.00  1.00   -1.736   -2.037   -1.082
 10.00  1.00   -0.478   -1.907    0.298
 30.00  1.00    1.716   -0.569    2.873
100.00  1.00    4.154    0.918    5.734
  0.01  2.00   -5.635   -1.986   -1.986
  0.10  2.00   -6.064   -1.986   -1.986
  0.20  2.00   -6.168   -1.986   -1.986
  0.40  2.00   -6.247   -1.986   -1.986
  0.70  2.00   -6.237   -1.986   -1.986
  1.00  2.00   -5.325   -1.986   -1.986
  1.50  2.00   -4.172   -1.987   -1.980
  2.00  2.00   -3.494   -1.991   -1.952
  3.00  2.00   -2.671   -2.003   -1.769
  5.00  2.00   -1.736   -2.037   -1.082
 10.00  2.00   -0.478   -1.907    0.298
 30.00  2.00    1.716   -0.569    2.873
100.00  2.00    4.154    0.918    5.734
  0.01  3.00   -4.762   -1.986   -1.984
  0.10  3.00   -5.069   -1.986   -1.985
  0.20  3.00   -5.169   -1.986   -1.985
  0.40  3.00   -5.248   -1.986   -1.985
  0.70  3.00   -5.290   -1.986   -1.985
  1.00  3.00   -5.120   -1.986   -1.985
  1.50  3.00   -4.157   -1.987   -1.979
  2.00  3.00   -3.491   -1.991   -1.952
  3.00  3.00   -2.670   -2.003   -1.768
  5.00  3.00   -1.736   -2.037   -1.082
 10.00  3.00   -0.478   -1.907    0.298
 30.00  3.00    1.716   -0.569    2.873
100.00  3.00    4.154    0.918    5.734
  0.01  4.00   -4.027   -1.986   -1.975
  0.10  4.00   -4.111   -1.986   -1.977
  0.20  4.00   -4.183   -1.986   -1.978
  0.40  4.00   -4.251   -1.986   -1.979
  0.70  4.00   -4.291   -1.986   -1.980
  1.00  4.00   -4.301   -1.986   -1.980
  1.50  4.00   -4.016   -1.987   -1.976
  2.00  4.00   -3.460   -1.991   -1.949
  3.00  4.00   -2.665   -2.003   -1.766
  5.00  4.00   -1.735   -2.037   -1.081
 10.00  4.00   -0.478   -1.907    0.298
 30.00  4.00    1.716   -0.569    2.873
100.00  4.00    4.154    0.918    5.734
  0.01  5.00   -3.237   -1.986   -1.923
  0.10  5.00   -3.241   -1.986   -1.923
  0.20  5.00   -3.252   -1.986   -1.924
  0.40  5.00   -3.276   -1.986   -1.927
  0.70  5.00   -3.299   -1.986   -1.929
  1.00  5.00   -3.308   -1.986   -1.929
  1.50  5.00   -3.298   -1.987   -1.928
  2.00  5.00   -3.177   -1.990   -1.911
  3.00  5.00   -2.613   -2.002   -1.742
  5.00  5.00   -1.727   -2.036   -1.074
 10.00  5.00   -0.477   -1.907    0.299
 30.00  5.00    1.716   -0.569    2.873
100.00  5.00    4.153    0.918    5.733
  0.01  6.00   -2.326   -1.986   -1.620
  0.10  6.00   -2.326   -1.986   -1.620
  0.20  6.00   -2.326   -1.986   -1.619
  0.40  6.00   -2.324   -1.986   -1.618
  0.70  6.00   -2.321   -1.986   -1.613
  1.00  6.00   -2.317   -1.986   -1.607
  1.50  6.00   -2.305   -1.987   -1.594
  2.00  6.00   -2.286   -1.990   -1.576
  3.00  6.00   -2.193   -1.998   -1.497
  5.00  6.00   -1.648   -2.031   -1.002
 10.00  6.00   -0.468   -1.906    0.307
 30.00  6.00    1.717   -0.569    2.874
100.00  6.00    4.145    0.917    5.726
  0.01  7.00   -1.279   -1.986   -0.742
  0.10  7.00   -1.279   -1.986   -0.741
  0.20  7.00   -1.278   -1.986   -0.741
  0.40  7.00   -1.277   -1.986   -0.739
  0.70  7.00   -1.274   -1.986   -0.735
  1.00  7.00   -1.270   -1.986   -0.727
  1.50  7.00   -1.258   -1.987   -0.711
  2.00  7.00   -1.244   -1.990   -0.688
  3.00  7.00   -1.206   -1.996   -0.631
  5.00  7.00   -1.090   -2.012   -0.463
 10.00  7.00   -0.384   -1.895    0.392
 30.00  7.00    1.720   -0.568    2.877
100.00  7.00    4.058    0.906    5.638
  0.01  8.00   -0.081   -1.986    0.544
  0.10  8.00   -0.081   -1.986    0.544
  0.20  8.00   -0.081   -1.986    0.544
  0.40  8.00   -0.081   -1.986    0.545
  0.70  8.00   -0.079   -1.986    0.547
  1.00  8.00   -0.077   -1.986    0.550
  1.50  8.00   -0.072   -1.987    0.558
  2.00  8.00   -0.066   -1.990    0.569
  3.00  8.00   -0.046   -1.996    0.598
  5.00  8.00    0.008   -2.006    0.684
 10.00  8.00    0.212   -1.854    1.001
 30.00  8.00    1.750   -0.563    2.908
100.00  8.00    3.459    0.871    5.027
  0.01  9.00    1.273   -1.986    2.077
  0.10  9.00    1.273   -1.986    2.077
  0.20  9.00    1.273   -1.986    2.077
  0.40  9.00    1.273   -1.986    2.077
  0.70  9.00    1.273   -1.986    2.078
  1.00  9.00    1.274   -1.986    2.079
